Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
07-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,XL,1,"24156,44","61.598,88","$ 51.802,80","7391,8656","20254,49","20.254,49",84%,"20.254,49"
07-mar,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",XXL,1,"28253,5","68.318,88","$ 52.016,13","8198,2656","15564,36","15.564,36",55%,"15.564,36"
07-mar,ML,AULM080CEF,MA,Cuero Engrasado,L,1,"69813,37","155.678,88","$ 125.483,27","18681,4656","36988,43","36.988,43",53%,"36.988,43"
07-mar,ML,KEBLM000RCE,NA,Gorra KENT Rafia+Caja,M,1,23716,"58.238,88","$ 44.319,65","6.988,67","13614,98","13.614,98",57%,"13.614,98"
08-mar,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XS,1,"28253,5","68.318,88","$ 52.016,13","8198,2656","15564,36","15.564,36",55%,"15.564,36"
09-mar,ML,AULM080CEF,MA,Cuero Engrasado,L,1,"69813,37","155.678,88","$ 125.483,27","18681,4656","36988,43","36.988,43",53%,"36.988,43"
09-mar,ML,KEBLM000RCE,NA,Gorra KENT Rafia+Caja,XXL,1,23716,"58.238,88","$ 44.319,65","6.988,67","13614,98","13.614,98",57%,"13.614,98"
10-mar,ML,KELM000ACE,TO,Gorra KENT+Caja,XL,1,"20473,2","55.998,88","$ 42.287,38","6.719,87","15094,31","15.094,31",74%,"15.094,31"
10-mar,ML,KELM000ACE,TO,Gorra KENT+Caja,XL,1,"20473,2","55.998,88","$ 42.287,38","6.719,87","15094,31","15.094,31",74%,"15.094,31"
10-mar,ML,AULM080CEF,MA,Cuero Engrasado,L,1,"69813,37","155.678,88","$ 125.483,27","18681,4656","36988,43","36.988,43",53%,"36.988,43"
15-mar,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 50.214,75","8198,2656","13762,98","13.762,98",49%,"13.762,98"
15-mar,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 51.581,13","8198,2656","15129,36","15.129,36",54%,"15.129,36"
16-mar,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,XS,1,"31393,45","66.078,88","$ 50.404,74","5947,0992","13064,19","13.064,19",42%,"13.064,19"
16-mar,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XS,1,"30711,01","76.158,88","$ 57.466,96","9139,0656","17616,88","17.616,88",57%,"17.616,88"
17-mar,ML,AULM080CEF,MA,Cuero Engrasado,M,1,"69813,37","155.100,00","$ 124.561,46",18612,"36136,09","36.136,09",52%,"36.136,09"
19-mar,ML,AULM080CEF,NE,Cuero Engrasado,L,1,"69813,37","155.700,00","$ 125.066,04",18684,"36568,67","36.568,67",52%,"36.568,67"
21-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,L,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
21-mar,ML,VELM000PLE,BO,Gorra Vento Paño de Lana,L,1,"28459,2","53.758,88","$ 40.365,61","6451,0656","5455,34","5.455,34",19%,"5.455,34"
22-mar,ML,KEBLM000RCE,TO,Gorra KENT Rafia+Caja,L,1,23716,"58.238,88","$ 44.133,15","6.988,67","13428,48","13.428,48",57%,"13.428,48"
23-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,S,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
23-mar,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XL,1,"28253,5","68.318,88","$ 51.581,13","8198,2656","15129,36","15.129,36",54%,"15.129,36"
24-mar,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,L,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",39%,"12.356,81"
24-mar,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,L,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",39%,"12.356,81"
24-mar,ML,FOLM080RISF,NA,FORTALEZA RAFIA ITALIANA,XS,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",39%,"12.356,81"
25-mar,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 50.214,75","8198,2656","13762,98","13.762,98",49%,"13.762,98"
26-mar,ML,305,,Cuchilla Artesanal Mission N 16 Inoxidable 0305,,1,"17499,3225","$ 43.525,45","$ 31.147,48","1741,018","11907,14","11.907,14",68%,"11.907,14"
28-mar,ML,PALM100AVF,NA,"Alg, Vent. Pampa Ala 10",L,1,"30711,01","76.158,88","$ 58.174,34","9139,0656","18324,26","18.324,26",60%,"18.324,26"
28-mar,ML,BHLM080RIDF,TO,Rafia Italiana Bahia,M,1,"31393,45","66.078,88","$ 49.697,36","7929,4656","10374,44","10.374,44",33%,"10.374,44"
28-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
29-mar,ML,AULM080CEF,MA,Cuero Engrasado,M,1,"69813,37","155.700,00","$ 125.066,04",18684,"36568,67","36.568,67",52%,"36.568,67"
29-mar,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 50.556,35","8198,2656","14104,58","14.104,58",50%,"14.104,58"
29-mar,ML,Carlos,MA,Billetera doble solapa,,1,"6098,4","23.518,88","$ 17.778,66","2822,2656","8857,99","8.857,99",145%,"8.857,99"
29-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,L,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
29-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
29-mar,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","61.598,88","$ 45.929,81","7391,8656","14381,5","14.381,50",60%,"14.381,50"
30-mar,ML,Prov2,NA,Cuero Nobuk,M,1,"60806,4688","164.998,88","$ 113.251,24","19799,8656","32644,91","32.644,91",54%,"32.644,91"
30-mar,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 51.581,14","8198,2656","15129,37","15.129,37",54%,"15.129,37"
31-mar,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,M,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",39%,"12.356,81"
31-mar,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",L,1,"30711,01","76.158,88","$ 58.174,34","9139,0656","18324,26","18.324,26",60%,"18.324,26"
01-abr,ML,PALM100AVF,NA,"Alg, Vent. Pampa Ala 10",XXL,1,"30711,01","76.158,88","$ 58.174,34","9139,0656","18324,26","18.324,26",31%,"18.324,26"
02-abr,ML,VELM000PLE,MA,Gorra Vento Paño de Lana,S,1,"28459,2","53.758,88","$ 39.290,43","6451,0656","4380,16","4.380,16",14%,"4.380,16"
04-abr,ML,VELM000PLE,AZ,Gorra Vento Paño de Lana,XL,1,"28459,2","53.758,88","$ 39.290,43","6451,0656","4380,16","4.380,16",14%,"4.380,16"
05-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
05-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
06-abr,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,M,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",22%,"12.356,81"
06-abr,ML,VELM000PLE,NE,Gorra Vento Paño de Lana,XL,1,"28459,2","53.758,88","$ 40.365,61","6451,0656","5455,34","5.455,34",17%,"5.455,34"
07-abr,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","61.044,48","$ 45.463,59","7325,3376","13981,81","13.981,81",30%,"13.981,81"
08-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
11-abr,ML,JKLM080STF,NA,SOMBRERO JACK LAGOMARSINO ALA 8 SILVESTRE FLEXIL,S,1,"37938,34","85.118,88","$ 65.709,43","7.660,70","20110,39","20.110,39",28%,"20.110,39"
11-abr,ML,AULM080AVF,TO,Alg. Vent. Australiano,L,1,"24156,44","61.044,48","$ 45.463,59","7325,3376","13981,81","13.981,81",30%,"13.981,81"
13-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
14-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
15-abr,ML,VELM000PLE,BO,Gorra Vento Paño de Lana,L,1,"28459,2","53.758,88","$ 40.365,61","6451,0656","5455,34","5.455,34",17%,"5.455,34"
16-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
16-abr,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","68.318,88","$ 51.581,13","8198,2656","15129,36","15.129,36",29%,"15.129,36"
17-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
17-abr,ML,KELM000ACE,TO,Gorra KENT+Caja,XL,1,"20473,2","55.998,88","$ 41.854,88","6.719,87","14661,81","14.661,81",33%,"14.661,81"
18-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",L,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
19-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",S,0,0,0,"$ 0,00",0,0,-,#¡DIV/0!,-
20-abr,ML,,NAR,Gorra Lino,XXL,1,15000,"27635,89","$ 20.808,64","3316,3068","2492,33","2.492,33",16%,"2.492,33"
21-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
21-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
21-abr,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,L,1,"31393,45","66.078,88","$ 49.697,36","5947,0992","12356,81","12.356,81",22%,"12.356,81"
21-abr,ML,BHLM080RIDF,TO,Rafia Italiana Bahia,L,1,"31393,45","65.484,16","$ 49.197,23","7858,0992","9945,68","9.945,68",22%,"9.945,68"
22-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",S,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
22-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
23-abr,ML,AULM080AVF,NA,Alg. Vent. Australiano,L,1,"24156,44","61.044,48","$ 45.463,59","7325,3376","13981,81","13.981,81",30%,"13.981,81"
24-abr,ML,VELM000PLE,BE,Gorra Vento Paño de Lana,XL,1,"28459,2","53.758,88","$ 40.365,61","6451,0656","5455,34","5.455,34",17%,"5.455,34"
25-abr,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
26-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","75.473,44","$ 57.597,92","9056,8128","17830,1","17.830,10",31%,"17.830,10"
26-abr,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",S,1,"30711,01","75.473,44","$ 56.088,45","9056,8128","16320,63","16.320,63",28%,"16.320,63"
28-abr,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XL,1,"28253,5","67.704,00","$ 51.064,04","8124,48","14686,06","14.686,06",29%,"14.686,06"
01-may,ML,AULM080CEF,MA,Cuero Engrasado,L,0,0,0,"$ 0,00",0,0,-,#¡DIV/0!,-
01-may,ML,BHLM080RIDF,NA,Rafia Italiana Bahia,L,1,"31393,45","66.078,88","$ 49.697,36","7929,4656","10374,44","10.374,44",22%,"10.374,44"
02-may,ML,KEBLM000RCE,NA,Gorra KENT Rafia+Caja,L,1,23716,"58.238,88","$ 43.738,65","6.988,67","13033,98","13.033,98",29%,"13.033,98"
02-may,ML,KEBLM000RCE,TO,Gorra KENT Rafia+Caja,M,1,23716,"58.238,88","$ 43.738,65","6.988,67","13033,98","13.033,98",29%,"13.033,98"
02-may,ML,AULM080CNF,MA,Cuero Nobuk,XL,1,"60806,13","116.299,00","$ 91.930,98","13955,88","17168,97","17.168,97",22%,"17.168,97"
02-may,ML,AULM080CEF,MA,Cuero Engrasado,L,1,"69813,37","148.780,00","$ 116.270,93","17853,6","28603,96","28.603,96",27%,"28.603,96"
04-may,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XL,1,"28253,5","68.318,88","$ 51.583,18","8198,2656","15131,41","15.131,41",29%,"15.131,41"
05-may,ML,AULM080CEF,MA,Cuero Engrasado,M,1,"69813,37","148.780,00","$ 119.246,53","17853,6","31579,56","31.579,56",29%,"31.579,56"
