Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
07-jun,ML,AULM080FLF,VE,AUSTR. FIELTRO LANA,L,1,78771,"197.999,00","$ 143.214,31","23759,88","40683,43","40.683,43",27%,"40.683,43"
07-jun,ML,PALM080AVF,NA,"Alg, Vent.Pampa Ala 8",L,1,"28253,5","63.582,70","$ 47.661,73","7629,924","11778,31","11.778,31",25%,"11.778,31"
07-jun,ML,AULM080FLF,NE,AUSTR. FIELTRO LANA,M,1,78771,"190.988,41","$ 140.800,38","22918,6092","39110,77","39.110,77",27%,"39.110,77"
08-jun,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","58.724,07","$ 43.570,92","7046,8884","12367,59","12.367,59",28%,"12.367,59"
08-jun,ML,KELM000PLE,MA,Gorra KENT Paño de Lana,L,1,34485,"57.999,00","$ 43.989,43","6959,88","2544,55","2.544,55",11%,"2.544,55"
08-jun,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","71.499,00","$ 54.327,03","8579,88","15036,14","15.036,14",28%,"15.036,14"
09-jun,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",XL,1,"28253,5","63.582,70","$ 47.661,73","7629,924","11778,31","11.778,31",25%,"11.778,31"
09-jun,ML,PALM100AVF,NA,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","68.333,56","$ 51.661,82","8200,0272","12750,78","12.750,78",26%,"12.750,78"
09-jun,ML,AULM080AVF,NA,Alg. Vent. Australiano,L,1,"24156,44","58.724,07","$ 43.570,92","7046,8884","12367,59","12.367,59",28%,"12.367,59"
09-jun,ML,AULM080AVF,NA,Alg. Vent. Australiano,S,1,"24156,44","58.724,07","$ 43.570,92","7046,8884","12367,59","12.367,59",28%,"12.367,59"
09-jun,ML,PALM100AVF,NA,"Alg, Vent. Pampa Ala 10",S,1,"30711,01","68.333,56","$ 50.661,82","8200,0272","11750,78","11.750,78",24%,"11.750,78"
09-jun,ML,AULM080AVF,TO,Alg. Vent. Australiano,XL,1,"24156,44","58.724,07","$ 42.665,06","7046,8884","11461,73","11.461,73",26%,"11.461,73"
09-jun,ML,AULM080CEF,MA,Cuero Engrasado,XL,1,"69813,37",164350,"$ 132.504,78",19722,"42969,41","42.969,41",34%,"42.969,41"
09-jun,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","63.582,70","$ 47.661,73","7629,924","11778,31","11.778,31",25%,"11.778,31"
10-jun,ML,VELM000PLE,GR.OS,Gorra Vento Paño de Lana,XL,1,"28459,2","53.758,88","$ 40.419,37","6451,0656","5509,1","5.509,10",17%,"5.509,10"
10-jun,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"69813,37",164350,"$ 132.504,78",19722,"42969,41","42.969,41",34%,"42.969,41"
10-jun,ML,KELM000PLE,MA,Gorra KENT Paño de Lana,XL,1,34485,"57.999,00","$ 43.989,43","6959,88","2544,55","2.544,55",11%,"2.544,55"
10-jun,ML,AULM080AVF,NA,Alg. Vent. Australiano,L,1,"24156,44","58.724,07","$ 43.570,92","7046,8884","12367,59","12.367,59",28%,"12.367,59"
10-jun,ML,139,,Cuchillo Artesanal Mission P3 Asta De Ciervo C/ Chaira 0139,,1,"25635,786","53.774,96","$ 38.962,93","6452,9952","6874,15","6.874,15",27%,"6.874,15"
